Client,Loss,Accuracy
10,1.5177417993545532,0.7
8,1.5975271463394165,0.66
6,1.5769550800323486,0.65
3,1.8043922185897827,0.53
9,1.614967942237854,0.63
5,1.6352002620697021,0.66
4,1.6637365818023682,0.59
7,1.6654117107391357,0.61
2,1.6451538801193237,0.62
1,1.6504658460617065,0.63
Average,1.637155246734619,0.628
